id,time,values
1,2023:01:01 15:12:41,4.1
2,2023:01:01 15:12:41,1846.7
3,2023:01:01 15:12:41,633.4
1,2023:01:01 15:13:11,2650
2,2023:01:01 15:13:11,1916.9
3,2023:01:01 15:13:11,1572.4
1,2023:01:01 15:13:41,1147.8
2,2023:01:01 15:13:41,2935.8
3,2023:01:01 15:13:41,2696.2
1,2023:01:01 15:14:11,2446.4
2,2023:01:01 15:14:11,570.5
3,2023:01:01 15:14:11,2814.5
1,2023:01:01 15:14:41,2328.1
2,2023:01:01 15:14:41,1682.7
3,2023:01:01 15:14:41,996.1
1,2023:01:01 15:15:11,49.1
2,2023:01:01 15:15:11,299.5
3,2023:01:01 15:15:11,1194.2
1,2023:01:01 15:15:41,482.7
2,2023:01:01 15:15:41,543.6
3,2023:01:01 15:15:41,3239.1
1,2023:01:01 15:16:11,1460.4
2,2023:01:01 15:16:11,390.2
3,2023:01:01 15:16:11,15.3
1,2023:01:01 15:16:41,29.2
2,2023:01:01 15:16:41,1238.2
3,2023:01:01 15:16:41,1742.1
1,2023:01:01 15:17:11,1871.6
2,2023:01:01 15:17:11,1971.8
3,2023:01:01 15:17:11,1989.5
1,2023:01:01 15:17:41,544.7
2,2023:01:01 15:17:41,2172.6
3,2023:01:01 15:17:41,1477.1
1,2023:01:01 15:18:11,1153.8
2,2023:01:01 15:18:11,186.9
3,2023:01:01 15:18:11,1991.2
1,2023:01:01 15:18:41,2566.7
2,2023:01:01 15:18:41,2629.9
3,2023:01:01 15:18:41,1703.5
1,2023:01:01 15:19:11,989.4
2,2023:01:01 15:19:11,2870.3
3,2023:01:01 15:19:11,2381.1
1,2023:01:01 15:19:41,3132.2
2,2023:01:01 15:19:41,3033.3
3,2023:01:01 15:19:41,1767.3
1,2023:01:01 15:20:11,466.4
2,2023:01:01 15:20:11,1514.1
3,2023:01:01 15:20:11,771.1
1,2023:01:01 15:20:41,2825.3
2,2023:01:01 15:20:41,686.8
3,2023:01:01 15:20:41,2554.7
1,2023:01:01 15:21:11,2764.4
2,2023:01:01 15:21:11,3266.2
3,2023:01:01 15:21:11,3275.7
1,2023:01:01 15:21:41,2003.7
2,2023:01:01 15:21:41,1285.9
3,2023:01:01 15:21:41,872.3
1,2023:01:01 15:22:11,974.1
2,2023:01:01 15:22:11,2752.9
3,2023:01:01 15:22:11,77.8
1,2023:01:01 15:22:41,1231.6
2,2023:01:01 15:22:41,303.5
3,2023:01:01 15:22:41,2219
1,2023:01:01 15:23:11,184.2
2,2023:01:01 15:23:11,28.8
3,2023:01:01 15:23:11,3010.6
1,2023:01:01 15:23:41,904
2,2023:01:01 15:23:41,894.2
